"GRANULE_ID","PRODUCT_ID","DATATAKE_IDENTIFIER","MGRS_TILE","SENSING_TIME","TOTAL_SIZE","CLOUD_COVER","GEOMETRIC_QUALITY_FLAG","GENERATION_TIME","NORTH_LAT","SOUTH_LAT","WEST_LON","EAST_LON","BASE_URL","tile","tile2","sens_date"
"L1C_T19HBD_A034985_20220304T144012","S2A_MSIL1C_20220304T143731_N0400_R096_T19HBD_20220304T182315","GS2A_20220304T143731_034985_N04.00","19HBD","2022-03-04T14:52:11.555000Z",779260222,61.1444952073815,"","2022-03-04T18:23:15.000000Z",-32.4967235507116,-33.5107602748432,-72.228898800549,-71.0253260436289,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2A_MSIL1C_20220304T143731_N0400_R096_T19HBD_20220304T182315.SAFE","19H","19",2022-03-04
"L1C_T19HBD_A026291_20220319T144057","S2B_MSIL1C_20220319T143729_N0400_R096_T19HBD_20220319T181921","GS2B_20220319T143729_026291_N04.00","19HBD","2022-03-19T14:52:05.762000Z",775762666,94.755979575383,"","2022-03-19T18:19:21.000000Z",-32.4967235507116,-33.5107602748432,-72.228898800549,-71.0253260436289,"gs://gcp-public-data-sentinel-2/tiles/19/H/BD/S2B_MSIL1C_20220319T143729_N0400_R096_T19HBD_20220319T181921.SAFE","19H","19",2022-03-19
"L1C_T19HDD_A030295_20221224T144526","S2B_MSIL1C_20221224T143729_N0509_R096_T19HDD_20221224T173844","GS2B_20221224T143729_030295_N05.09","19HDD","2022-12-24T14:52:00.537000Z",459814333,19.6937359187746,"","2022-12-24T17:38:44.000000Z",-32.5327530693199,-33.5262080795964,-70.0773934106369,-69.3374827952087,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20221224T143729_N0509_R096_T19HDD_20221224T173844.SAFE","19H","19",2022-12-24
"L1C_T19HDD_A044852_20240123T144557","S2A_MSIL1C_20240123T143741_N0510_R096_T19HDD_20240123T180010","GS2A_20240123T143741_044852_N05.10","19HDD","2024-01-23T14:51:54.513000Z",503599968,4.33098734376812,"","2024-01-23T18:00:10.000000Z",-32.5327530693199,-33.5262859805276,-70.0773934106369,-69.3221477241728,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20240123T143741_N0510_R096_T19HDD_20240123T180010.SAFE","19H","19",2024-01-23
"L1C_T19HDD_A024961_20211216T143401","S2B_MSIL1C_20211216T142729_N0301_R053_T19HDD_20211216T175548","GS2B_20211216T142729_024961_N03.01","19HDD","2021-12-16T14:41:58.905000Z",876119420,27.1209,"","2021-12-16T17:55:48.000000Z",-32.5328606442191,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20211216T142729_N0301_R053_T19HDD_20211216T175548.SAFE","19H","19",2021-12-16
"L1C_T19HDD_A027506_20200927T143228","S2A_MSIL1C_20200927T142741_N0209_R053_T19HDD_20200927T180315","GS2A_20200927T142741_027506_N02.09","19HDD","2020-09-27T14:42:10.726000Z",917345686,49.0814,"","2020-09-27T18:03:15.000000Z",-32.5327530693199,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2A_MSIL1C_20200927T142741_N0209_R053_T19HDD_20200927T180315.SAFE","19H","19",2020-09-27
"L1C_T19HCD_A016996_20200607T144648","S2B_MSIL1C_20200607T143729_N0209_R096_T19HCD_20200607T175811","GS2B_20200607T143729_016996_N02.09","19HCD","2020-06-07T14:52:06.701000Z",891769385,17.9592,"","2020-06-07T17:58:11.000000Z",-32.5192377034457,-33.5238865160754,-71.1533199895989,-69.9606411414037,"gs://gcp-public-data-sentinel-2/tiles/19/H/CD/S2B_MSIL1C_20200607T143729_N0209_R096_T19HCD_20200607T175811.SAFE","19H","19",2020-06-07
"L1C_T19HCE_A027406_20200920T144619","S2A_MSIL1C_20200920T143731_N0209_R096_T19HCE_20200920T180636","GS2A_20200920T143731_027406_N02.09","19HCE","2020-09-20T14:51:54.903000Z",902657905,34.6815,"","2020-09-20T18:06:36.000000Z",-31.6175047821066,-32.6218076590001,-71.1314714133013,-69.9512491975531,"gs://gcp-public-data-sentinel-2/tiles/19/H/CE/S2A_MSIL1C_20200920T143731_N0209_R096_T19HCE_20200920T180636.SAFE","19H","19",2020-09-20
"L1C_T19HDD_A006657_20180615T143037","S2B_MSIL1C_20180615T142849_N0206_R053_T19HDD_20180615T175350","GS2B_20180615T142849_006657_N02.06","19HDD","2018-06-15T14:30:37.080000Z",843175953,43.8497,"","2018-06-15T17:53:50.000000Z",-32.5328926165986,-33.5276526478463,-70.0773934106369,-68.894998375167,"gs://gcp-public-data-sentinel-2/tiles/19/H/DD/S2B_MSIL1C_20180615T142849_N0206_R053_T19HDD_20180615T175350.SAFE","19H","19",2018-06-15
"L1C_T19HCE_A012391_20171105T145124","S2A_MSIL1C_20171105T145121_N0206_R096_T19HCE_20171105T160737","GS2A_20171105T145121_012391_N02.06","19HCE","2017-11-05T14:51:24.460000Z",868473430,21.5483,"","2017-11-05T16:07:37.000000Z",-31.6175047821066,-32.6218076590001,-71.1314714133013,-69.9512491975531,"gs://gcp-public-data-sentinel-2/tiles/19/H/CE/S2A_MSIL1C_20171105T145121_N0206_R096_T19HCE_20171105T160737.SAFE","19H","19",2017-11-05
